item,amount,room,details
локальный робот-ассистент,20,2042,рядом с розеткой
локальный лампа,14,3097,у доски
параллельный энергетический кристалл (почти работает),12,3533,под потолком
шумящий плакат мотивации,19,2390,в шкафу
резиновый дрон наблюдения за лекцией,4,4817,
депрессивный забытый бутерброд,13,2311,у доски
квантовый карта несуществующих аудиторий,16,1294,под столом
локальный стул-неврастеник,5,1546,за занавеской
самообновляющийся микрофон-невидимка,16,4335,в углу аудитории
сломанный микрофон-невидимка,13,2155,на подоконнике
забытый доска,9,1438,в коробке на подоконнике
хаотический кресло,11,5259,в углу аудитории
интерактивный кабель HDMI-невидимка,12,3057,под столом
параллельный кресло,20,3473,у доски
шумящий бутылка времени,10,4825,рядом с розеткой
университетский дрон наблюдения за лекцией,16,2763,
оптимистичный маркер,20,3761,в углу аудитории
квантовый пылесос для мыслей,6,3899,за занавеской
оптимистичный стул-неврастеник,3,2863,на подоконнике
резиновый пакет загадок,11,1427,рядом с розеткой
интерактивный энергетический кристалл (почти работает),20,2486,за занавеской
хаотический робот-ассистент,12,3339,
хаотический коробка с голосами,14,4908,в шкафу
квантовый проектор,8,1606,за занавеской
антикварный карта несуществующих аудиторий,7,2161,в шкафу
магнитный кресло,3,3352,в коробке на подоконнике
сингулярный доска,13,4592,внутри вентиляции
интерактивный кресло,20,781,в шкафу
оптимистичный пылесос для мыслей,10,790,у доски
голографический карта несуществующих аудиторий,15,2126,за занавеской
университетский стол,6,1135,под столом
параллельный дрон наблюдения за лекцией,11,387,в коробке на подоконнике
интерактивный микрофон-невидимка,18,3927,в коробке на подоконнике
шумящий энергетический кристалл (почти работает),19,1206,на кафедре
депрессивный пылесос для мыслей,17,3840,за занавеской
голографический микрофон-невидимка,12,5339,в коробке на подоконнике
антикварный забытый бутерброд,15,4520,в углу аудитории
интерактивный стул-неврастеник,5,3096,в углу аудитории
университетский проектор,5,186,рядом с розеткой
сингулярный пульт управления хаосом,16,2449,в коробке на подоконнике
депрессивный проектор,10,2554,на кафедре
параллельный проектор,7,1994,под потолком
оптимистичный стул-неврастеник,8,4692,в шкафу
оптимистичный кофеварка кафедры,8,5391,в углу аудитории
резиновый стул-неврастеник,17,748,на кафедре
интерактивный учебник по квантовой философии,14,2327,у доски
квантовый лампа,10,660,на подоконнике
хаотический плакат мотивации,9,5317,
забытый пульт управления хаосом,11,5201,под столом
сингулярный доска,6,1346,на подоконнике
квантовый робот-ассистент,15,2411,
антикварный забытый бутерброд,5,167,под столом
самообновляющийся ноутбук-призрак,14,4143,в углу аудитории
хаотический кабель HDMI-невидимка,2,4182,рядом с розеткой
сломанный стол,9,757,под потолком
локальный микрофон-невидимка,6,684,у доски
сингулярный кофеварка кафедры,4,2148,
хаотический кофеварка кафедры,8,2139,
хаотический ноутбук-призрак,4,374,внутри вентиляции
оптимистичный пульт управления хаосом,10,1807,рядом с розеткой
сломанный пылесос для мыслей,18,1399,внутри вентиляции
локальный робот-ассистент,10,1100,у доски
забытый доска,4,3052,у доски
самообновляющийся стул-неврастеник,1,5284,в шкафу
магнитный бутылка времени,13,2361,у доски
локальный доска,20,173,в шкафу
резиновый маркер,6,3142,в коробке на подоконнике
самообновляющийся дрон наблюдения за лекцией,2,848,под столом
квантовый пылесос для мыслей,18,3012,на подоконнике
резиновый пульт управления хаосом,11,1130,внутри вентиляции
хаотический кабель HDMI-невидимка,7,5380,под столом
квантовый кабель HDMI-невидимка,9,3194,под столом
хаотический энергетический кристалл (почти работает),18,4075,в углу аудитории
локальный энергетический кристалл (почти работает),7,4546,на кафедре
параллельный микрофон-невидимка,11,1628,
шумящий робот-ассистент,3,3937,внутри вентиляции
голографический плакат мотивации,9,1369,внутри вентиляции
сингулярный плакат мотивации,17,3107,под потолком
параллельный проектор,20,1619,у доски
антикварный карта несуществующих аудиторий,18,2727,под потолком
локальный коробка с голосами,18,1655,в шкафу
самообновляющийся учебник по квантовой философии,14,5122,за занавеской
магнитный кресло,17,2738,за занавеской
квантовый доска,6,646,под столом
локальный кресло,7,1755,на подоконнике
оптимистичный бутылка времени,16,360,внутри вентиляции
интерактивный энергетический кристалл (почти работает),2,5211,рядом с розеткой
антикварный соковыжималка идей,1,1908,у доски
хаотический маркер,2,4125,рядом с розеткой
депрессивный карта несуществующих аудиторий,12,4671,
интерактивный соковыжималка идей,17,577,под столом
антикварный учебник по квантовой философии,7,676,внутри вентиляции
резиновый кресло,18,895,под потолком
университетский ноутбук-призрак,8,1652,на кафедре
депрессивный лампа,4,5222,за занавеской
хаотический кабель HDMI-невидимка,14,4823,на подоконнике
оптимистичный лампа,17,1466,рядом с розеткой
хаотический микрофон-невидимка,12,1395,рядом с розеткой
параллельный пакет загадок,14,4606,за занавеской
самообновляющийся карта несуществующих аудиторий,20,3627,у доски
забытый микрофон-невидимка,13,4713,внутри вентиляции
хаотический кабель HDMI-невидимка,15,2181,под потолком
сломанный карта несуществующих аудиторий,10,101,на кафедре
квантовый коробка с голосами,10,233,под столом
забытый забытый бутерброд,11,2560,под столом
университетский микрофон-невидимка,18,2360,на кафедре
магнитный стол,2,4782,в коробке на подоконнике
квантовый стол,9,3013,рядом с розеткой
резиновый забытый бутерброд,9,4869,в углу аудитории
оптимистичный бутылка времени,19,852,у доски
самообновляющийся карта несуществующих аудиторий,16,732,в шкафу
магнитный энергетический кристалл (почти работает),20,4099,за занавеской
оптимистичный доска,3,2560,под столом
депрессивный кабель HDMI-невидимка,14,2839,на подоконнике
сингулярный карта несуществующих аудиторий,13,1957,под столом
сломанный коробка с голосами,11,2596,внутри вентиляции
самообновляющийся стол,17,4727,
сломанный стол,13,1908,в коробке на подоконнике
университетский бутылка времени,3,4975,у доски
оптимистичный учебник по квантовой философии,5,3638,в шкафу
локальный маркер,19,2853,
оптимистичный микрофон-невидимка,9,503,на подоконнике
депрессивный коробка с голосами,5,3364,в шкафу
забытый микрофон-невидимка,16,4039,под потолком
университетский ноутбук-призрак,8,4780,у доски
депрессивный робот-ассистент,11,686,за занавеской
магнитный маркер,14,4818,под потолком
забытый кабель HDMI-невидимка,11,3092,рядом с розеткой
сингулярный пылесос для мыслей,10,4965,в шкафу
хаотический соковыжималка идей,20,2964,в шкафу
резиновый доска,7,3708,за занавеской
антикварный стол,4,3162,
квантовый забытый бутерброд,10,546,под столом
магнитный энергетический кристалл (почти работает),10,2912,в коробке на подоконнике
самообновляющийся проектор,7,3959,
забытый ноутбук-призрак,18,4507,внутри вентиляции
локальный микрофон-невидимка,20,2218,
сингулярный энергетический кристалл (почти работает),13,1257,на кафедре
интерактивный доска,6,4415,под столом
интерактивный ноутбук-призрак,2,2426,в коробке на подоконнике
оптимистичный маркер,9,168,за занавеской
сингулярный кресло,10,3050,за занавеской
оптимистичный забытый бутерброд,17,3266,
локальный пакет загадок,20,915,внутри вентиляции
забытый лампа,17,821,в коробке на подоконнике
сингулярный энергетический кристалл (почти работает),2,4693,у доски
самообновляющийся учебник по квантовой философии,16,4436,под потолком
параллельный проектор,12,1386,рядом с розеткой
резиновый учебник по квантовой философии,17,5221,в углу аудитории
интерактивный пылесос для мыслей,13,607,под столом
резиновый робот-ассистент,5,4646,рядом с розеткой
квантовый дрон наблюдения за лекцией,3,3318,
резиновый коробка с голосами,14,3231,у доски
депрессивный стол,10,4793,на кафедре
квантовый плакат мотивации,7,2797,за занавеской
забытый бутылка времени,5,1235,в углу аудитории
депрессивный стол,5,4391,за занавеской
самообновляющийся лампа,3,4727,внутри вентиляции
магнитный карта несуществующих аудиторий,6,4466,рядом с розеткой
сингулярный карта несуществующих аудиторий,11,1292,под потолком
хаотический учебник по квантовой философии,9,3468,в шкафу
квантовый кресло,6,1639,под столом
интерактивный соковыжималка идей,20,5113,на кафедре
резиновый забытый бутерброд,8,5116,за занавеской
антикварный кабель HDMI-невидимка,16,313,в шкафу
локальный соковыжималка идей,12,4215,в шкафу
локальный пульт управления хаосом,5,3274,в шкафу
сломанный забытый бутерброд,14,1683,под столом
резиновый стул-неврастеник,7,2310,у доски
хаотический лампа,20,641,в коробке на подоконнике
резиновый плакат мотивации,14,2761,под потолком
оптимистичный соковыжималка идей,11,442,под потолком
университетский карта несуществующих аудиторий,2,5109,внутри вентиляции
хаотический плакат мотивации,2,995,у доски
оптимистичный микрофон-невидимка,2,4349,внутри вентиляции
сломанный коробка с голосами,7,3273,в углу аудитории
голографический кофеварка кафедры,10,3700,в коробке на подоконнике
голографический стул-неврастеник,20,1463,под столом
хаотический стол,15,4335,на подоконнике
шумящий кресло,19,4201,
оптимистичный стол,14,4576,рядом с розеткой
шумящий проектор,15,3793,на кафедре
антикварный плакат мотивации,9,1754,рядом с розеткой
магнитный энергетический кристалл (почти работает),3,1443,на подоконнике
параллельный пылесос для мыслей,3,3781,внутри вентиляции
университетский карта несуществующих аудиторий,20,3246,в шкафу
оптимистичный микрофон-невидимка,2,3202,в шкафу
квантовый бутылка времени,6,2845,в шкафу
сломанный энергетический кристалл (почти работает),14,1565,в углу аудитории
хаотический карта несуществующих аудиторий,10,2635,за занавеской
квантовый кресло,7,1580,под столом
сингулярный робот-ассистент,15,5200,в коробке на подоконнике
сингулярный микрофон-невидимка,20,4184,в коробке на подоконнике
локальный ноутбук-призрак,15,2048,под потолком
сингулярный маркер,8,3719,внутри вентиляции
забытый соковыжималка идей,2,2378,в шкафу
параллельный доска,2,1314,в шкафу
голографический дрон наблюдения за лекцией,11,365,на подоконнике
депрессивный кресло,6,501,в шкафу
шумящий соковыжималка идей,15,2429,
сломанный кабель HDMI-невидимка,3,4842,в углу аудитории
оптимистичный кабель HDMI-невидимка,3,2744,под потолком
голографический маркер,16,4609,в шкафу
интерактивный энергетический кристалл (почти работает),11,1099,внутри вентиляции
забытый коробка с голосами,7,3489,на кафедре
университетский кресло,3,576,в коробке на подоконнике
голографический энергетический кристалл (почти работает),14,5054,на кафедре
университетский робот-ассистент,19,2692,на кафедре
локальный стол,17,2998,
локальный пульт управления хаосом,6,5276,на кафедре
голографический энергетический кристалл (почти работает),7,2006,под столом
хаотический проектор,4,1068,
депрессивный соковыжималка идей,14,1798,под столом
рефтамид,5,420,в коробке на подоконнике
забытый кабель HDMI-невидимка,1,2834,за занавеской
голографический энергетический кристалл (почти работает),9,1748,на подоконнике
университетский учебник по квантовой философии,18,2621,рядом с розеткой
самообновляющийся кресло,11,150,под потолком
сингулярный соковыжималка идей,6,4760,у доски
локальный пакет загадок,16,2807,под столом
локальный стол,5,5389,за занавеской
самообновляющийся микрофон-невидимка,15,3873,под потолком
голографический коробка с голосами,19,558,
сингулярный микрофон-невидимка,7,2684,на кафедре
антикварный кабель HDMI-невидимка,5,2817,в углу аудитории
оптимистичный пакет загадок,18,355,в шкафу
оптимистичный соковыжималка идей,6,4777,на кафедре
самообновляющийся учебник по квантовой философии,2,1057,в углу аудитории
локальный маркер,8,3490,рядом с розеткой
забытый учебник по квантовой философии,17,3802,в углу аудитории
параллельный кресло,2,1533,у доски
университетский плакат мотивации,1,858,в коробке на подоконнике
забытый стол,11,4196,в коробке на подоконнике
самообновляющийся учебник по квантовой философии,5,4389,на подоконнике
квантовый дрон наблюдения за лекцией,7,4328,
оптимистичный плакат мотивации,17,399,на подоконнике
сломанный учебник по квантовой философии,20,133,на подоконнике
сломанный плакат мотивации,4,2830,внутри вентиляции
голографический проектор,7,2659,рядом с розеткой
голографический ноутбук-призрак,9,1742,внутри вентиляции
магнитный плакат мотивации,9,2714,в шкафу
магнитный робот-ассистент,1,1390,на кафедре
магнитный коробка с голосами,7,4684,внутри вентиляции
самообновляющийся микрофон-невидимка,9,2969,в шкафу
резиновый бутылка времени,6,2420,на подоконнике
самообновляющийся соковыжималка идей,18,2650,в коробке на подоконнике
сингулярный стол,16,515,за занавеской
оптимистичный кресло,2,513,на подоконнике
шумящий кофеварка кафедры,20,3593,на кафедре
хаотический энергетический кристалл (почти работает),20,5256,рядом с розеткой
забытый пакет загадок,18,2659,на подоконнике
квантовый бутылка времени,3,3914,
хаотический кресло,10,3936,за занавеской
хаотический энергетический кристалл (почти работает),16,5379,у доски
интерактивный стол,12,1933,под потолком
самообновляющийся энергетический кристалл (почти работает),11,1602,в коробке на подоконнике
антикварный проектор,16,4093,на подоконнике
хаотический пульт управления хаосом,6,2979,в углу аудитории
квантовый соковыжималка идей,17,2955,на подоконнике
магнитный энергетический кристалл (почти работает),11,3423,внутри вентиляции
хаотический учебник по квантовой философии,13,681,на кафедре
резиновый забытый бутерброд,18,3486,в шкафу
антикварный кофеварка кафедры,11,4051,у доски
депрессивный стул-неврастеник,19,4941,рядом с розеткой
резиновый энергетический кристалл (почти работает),6,4560,за занавеской
локальный карта несуществующих аудиторий,4,738,на кафедре
самообновляющийся плакат мотивации,18,4983,на подоконнике
голографический лампа,13,3747,на подоконнике
оптимистичный кресло,11,5000,в коробке на подоконнике
сломанный дрон наблюдения за лекцией,3,5383,у доски
сингулярный бутылка времени,5,1238,за занавеской
голографический плакат мотивации,13,1322,на кафедре
забытый плакат мотивации,7,4834,за занавеской
голографический учебник по квантовой философии,14,2693,
сингулярный маркер,20,2920,внутри вентиляции
голографический стол,2,3411,рядом с розеткой
сингулярный доска,18,4596,рядом с розеткой
сингулярный учебник по квантовой философии,8,998,под потолком
самообновляющийся кофеварка кафедры,13,4934,под потолком
забытый стул-неврастеник,6,3225,в коробке на подоконнике
оптимистичный ноутбук-призрак,12,1239,под потолком
квантовый учебник по квантовой философии,5,1363,под столом
сингулярный пылесос для мыслей,5,687,
депрессивный дрон наблюдения за лекцией,5,4087,на подоконнике
депрессивный пылесос для мыслей,15,1224,
шумящий стул-неврастеник,15,5051,внутри вентиляции
хаотический микрофон-невидимка,13,3574,рядом с розеткой
депрессивный лампа,20,1949,под столом
резиновый пульт управления хаосом,17,4834,в углу аудитории
параллельный микрофон-невидимка,2,3465,под столом
параллельный пульт управления хаосом,4,4754,на кафедре
антикварный энергетический кристалл (почти работает),5,4044,
хаотический робот-ассистент,17,4412,на подоконнике
антикварный соковыжималка идей,8,4387,в коробке на подоконнике
антикварный карта несуществующих аудиторий,18,5266,на кафедре
сломанный соковыжималка идей,11,2659,внутри вентиляции
хаотический пульт управления хаосом,17,188,в коробке на подоконнике
самообновляющийся карта несуществующих аудиторий,14,4801,рядом с розеткой
шумящий учебник по квантовой философии,2,2513,
голографический карта несуществующих аудиторий,19,4995,в углу аудитории
локальный пылесос для мыслей,19,603,в шкафу
голографический доска,20,4792,под столом
антикварный пульт управления хаосом,5,2449,внутри вентиляции
интерактивный робот-ассистент,5,729,на кафедре
интерактивный робот-ассистент,1,2401,
шумящий соковыжималка идей,19,1013,
хаотический дрон наблюдения за лекцией,12,1338,в шкафу
резиновый энергетический кристалл (почти работает),16,2240,в шкафу
самообновляющийся доска,3,4420,в шкафу
локальный стол,14,4978,под потолком
хаотический дрон наблюдения за лекцией,6,2049,у доски
параллельный карта несуществующих аудиторий,2,4832,за занавеской
сломанный кресло,6,2265,в коробке на подоконнике
голографический пульт управления хаосом,16,3366,
оптимистичный забытый бутерброд,13,4462,в коробке на подоконнике
университетский стол,14,2251,под столом
оптимистичный плакат мотивации,11,2465,внутри вентиляции
параллельный кресло,14,436,на кафедре
интерактивный пакет загадок,9,2333,на подоконнике
оптимистичный пылесос для мыслей,15,2191,за занавеской
забытый карта несуществующих аудиторий,17,2080,рядом с розеткой
сингулярный пакет загадок,1,1573,на подоконнике
магнитный стул-неврастеник,17,197,на подоконнике
резиновый кабель HDMI-невидимка,10,3753,в углу аудитории
сингулярный доска,20,1681,на подоконнике
забытый соковыжималка идей,20,565,за занавеской
магнитный энергетический кристалл (почти работает),3,1097,на кафедре
шумящий кофеварка кафедры,4,1164,
голографический робот-ассистент,15,1609,за занавеской
хаотический пылесос для мыслей,9,720,под потолком
шумящий робот-ассистент,3,2749,в углу аудитории
оптимистичный кофеварка кафедры,11,611,под столом
шумящий робот-ассистент,15,2215,на подоконнике
оптимистичный ноутбук-призрак,6,4128,за занавеской
квантовый кресло,18,4130,под потолком
магнитный соковыжималка идей,15,1889,
сломанный кресло,3,2221,на подоконнике
интерактивный карта несуществующих аудиторий,15,4780,под столом
сингулярный стол,2,4177,за занавеской
квантовый робот-ассистент,11,3298,под потолком
университетский проектор,16,4807,в коробке на подоконнике
антикварный кофеварка кафедры,18,3672,у доски
локальный кофеварка кафедры,4,127,на кафедре
самообновляющийся кабель HDMI-невидимка,10,4485,под потолком
антикварный пылесос для мыслей,12,552,внутри вентиляции
хаотический маркер,10,2885,за занавеской
сломанный лампа,13,1763,за занавеской
оптимистичный учебник по квантовой философии,4,1664,за занавеской
антикварный пульт управления хаосом,15,3043,
сломанный стол,7,1652,под столом
локальный забытый бутерброд,13,4957,на подоконнике
голографический пылесос для мыслей,16,4528,внутри вентиляции
сломанный проектор,11,3780,под столом
сломанный карта несуществующих аудиторий,13,2866,на подоконнике
университетский пылесос для мыслей,15,1834,за занавеской
резиновый стол,3,4495,под столом
сингулярный пульт управления хаосом,16,1259,на кафедре
квантовый забытый бутерброд,1,475,в шкафу
голографический доска,4,5282,в коробке на подоконнике
антикварный лампа,4,5107,на подоконнике
резиновый соковыжималка идей,3,4172,у доски
оптимистичный пакет загадок,11,3591,на подоконнике
квантовый микрофон-невидимка,11,4818,у доски
шумящий бутылка времени,11,473,на подоконнике
квантовый робот-ассистент,14,1089,в шкафу
шумящий микрофон-невидимка,15,3130,у доски
квантовый доска,4,4867,за занавеской
шумящий кофеварка кафедры,1,5117,в коробке на подоконнике
сингулярный проектор,6,761,на подоконнике
депрессивный учебник по квантовой философии,16,4963,
квантовый ноутбук-призрак,9,1139,внутри вентиляции
резиновый стул-неврастеник,6,3789,на кафедре
шумящий соковыжималка идей,16,408,на кафедре
голографический пылесос для мыслей,12,821,под потолком
резиновый микрофон-невидимка,7,137,на подоконнике
параллельный кресло,18,4443,внутри вентиляции
забытый плакат мотивации,9,1896,под столом
квантовый кресло,16,1686,в коробке на подоконнике
сломанный лампа,2,1544,за занавеской
забытый учебник по квантовой философии,14,3083,в углу аудитории
хаотический соковыжималка идей,2,2838,на подоконнике
шумящий микрофон-невидимка,6,529,под столом
магнитный коробка с голосами,3,4073,у доски
самообновляющийся бутылка времени,14,3743,у доски
магнитный забытый бутерброд,11,2768,у доски
депрессивный забытый бутерброд,7,903,под потолком
локальный маркер,19,1907,в коробке на подоконнике
квантовый стул-неврастеник,7,545,на кафедре
оптимистичный лампа,12,3827,в шкафу
забытый карта несуществующих аудиторий,12,3849,в углу аудитории
квантовый пакет загадок,2,1756,
интерактивный доска,5,4758,на подоконнике
депрессивный плакат мотивации,6,3913,рядом с розеткой
шумящий учебник по квантовой философии,20,1901,в шкафу
резиновый микрофон-невидимка,3,4835,под потолком
забытый пульт управления хаосом,19,4374,в коробке на подоконнике
сингулярный робот-ассистент,14,3890,
самообновляющийся забытый бутерброд,14,2120,на кафедре
квантовый бутылка времени,19,1921,под столом
сломанный доска,16,3522,
депрессивный доска,17,4230,под потолком
магнитный энергетический кристалл (почти работает),15,4026,в коробке на подоконнике
сингулярный маркер,14,2070,у доски
голографический кабель HDMI-невидимка,8,1187,за занавеской
локальный проектор,10,843,в шкафу
сингулярный бутылка времени,15,3862,в коробке на подоконнике
оптимистичный энергетический кристалл (почти работает),6,1235,рядом с розеткой
сингулярный плакат мотивации,3,5234,под потолком
сломанный коробка с голосами,10,2827,под потолком
забытый энергетический кристалл (почти работает),3,2310,на кафедре
сломанный карта несуществующих аудиторий,17,2850,за занавеской
магнитный доска,13,3081,рядом с розеткой
сломанный соковыжималка идей,12,3912,рядом с розеткой
антикварный пылесос для мыслей,18,1535,
самообновляющийся стол,8,1777,внутри вентиляции
локальный пылесос для мыслей,19,1030,
резиновый карта несуществующих аудиторий,11,1818,рядом с розеткой
депрессивный коробка с голосами,9,2290,под столом
параллельный кабель HDMI-невидимка,15,619,в коробке на подоконнике
магнитный коробка с голосами,16,4207,
голографический дрон наблюдения за лекцией,15,4457,на кафедре
антикварный дрон наблюдения за лекцией,7,3115,в коробке на подоконнике
оптимистичный маркер,6,815,в углу аудитории
шумящий кресло,9,730,на подоконнике
квантовый пульт управления хаосом,7,1312,внутри вентиляции
голографический проектор,14,5238,за занавеской
локальный стол,12,4535,под потолком
сингулярный карта несуществующих аудиторий,10,3736,у доски
резиновый проектор,17,615,за занавеской
самообновляющийся стул-неврастеник,11,2851,в коробке на подоконнике
университетский дрон наблюдения за лекцией,18,4960,в коробке на подоконнике
квантовый учебник по квантовой философии,10,3851,в шкафу
локальный забытый бутерброд,12,2229,в углу аудитории
параллельный стол,10,487,в коробке на подоконнике
шумящий соковыжималка идей,18,1462,в углу аудитории
квантовый лампа,6,1593,у доски
самообновляющийся доска,19,1057,в шкафу
параллельный робот-ассистент,6,3711,у доски
сломанный энергетический кристалл (почти работает),11,4707,рядом с розеткой
хаотический кабель HDMI-невидимка,18,1311,в шкафу
магнитный учебник по квантовой философии,1,4471,под потолком
хаотический стол,11,4191,в шкафу
университетский карта несуществующих аудиторий,11,135,за занавеской
голографический пульт управления хаосом,19,2521,за занавеской
хаотический бутылка времени,11,1304,
локальный карта несуществующих аудиторий,2,1020,в шкафу
голографический кресло,1,4613,под потолком
хаотический забытый бутерброд,12,5158,на подоконнике
забытый доска,19,2773,внутри вентиляции
забытый робот-ассистент,1,1919,на подоконнике
антикварный плакат мотивации,17,4510,под потолком
самообновляющийся пульт управления хаосом,20,1692,на кафедре
параллельный доска,13,4290,в шкафу
оптимистичный кабель HDMI-невидимка,12,3603,под столом
параллельный кабель HDMI-невидимка,10,2431,в коробке на подоконнике
забытый маркер,15,4695,
голографический плакат мотивации,6,3504,
депрессивный карта несуществующих аудиторий,5,3572,на кафедре
квантовый маркер,7,4998,в углу аудитории
самообновляющийся коробка с голосами,3,3988,на кафедре
сингулярный маркер,14,3178,за занавеской
шумящий стул-неврастеник,18,2339,в коробке на подоконнике
забытый стол,6,4752,под потолком
локальный микрофон-невидимка,2,2471,в углу аудитории
локальный учебник по квантовой философии,18,4894,
сингулярный забытый бутерброд,1,3896,в шкафу
локальный учебник по квантовой философии,4,2251,за занавеской
шумящий стул-неврастеник,16,2456,
сингулярный забытый бутерброд,4,5382,в углу аудитории
параллельный маркер,19,4139,в коробке на подоконнике
интерактивный стул-неврастеник,16,4733,
университетский кабель HDMI-невидимка,19,1079,под столом
сломанный лампа,5,2226,рядом с розеткой
квантовый энергетический кристалл (почти работает),12,3876,в шкафу
параллельный робот-ассистент,14,533,за занавеской
голографический доска,10,3016,внутри вентиляции
университетский маркер,7,5334,за занавеской
шумящий кресло,18,1601,рядом с розеткой
голографический дрон наблюдения за лекцией,9,2690,за занавеской
параллельный кресло,5,3069,под столом
голографический коробка с голосами,12,1221,в коробке на подоконнике
шумящий пакет загадок,4,3475,у доски
резиновый коробка с голосами,7,1366,внутри вентиляции
университетский энергетический кристалл (почти работает),18,5125,
магнитный энергетический кристалл (почти работает),14,4614,в коробке на подоконнике
квантовый кресло,1,725,в коробке на подоконнике
параллельный учебник по квантовой философии,5,2952,в коробке на подоконнике
самообновляющийся коробка с голосами,6,4995,
магнитный проектор,8,2595,в шкафу
резиновый энергетический кристалл (почти работает),10,1266,в шкафу
антикварный стол,14,1819,
сингулярный маркер,16,1015,под потолком
магнитный ноутбук-призрак,2,448,за занавеской
сломанный бутылка времени,16,4306,на подоконнике
антикварный доска,10,2172,за занавеской
магнитный кресло,20,184,у доски
шумящий ноутбук-призрак,12,4913,под столом
интерактивный стол,19,843,рядом с розеткой
университетский лампа,20,2985,у доски
антикварный бутылка времени,4,4236,на кафедре
забытый коробка с голосами,7,214,в углу аудитории
сингулярный микрофон-невидимка,4,1507,у доски
локальный энергетический кристалл (почти работает),12,4230,
хаотический лампа,4,4928,в шкафу
депрессивный кофеварка кафедры,7,3006,внутри вентиляции
магнитный стул-неврастеник,11,1964,на подоконнике
